threshold,window,ctrlset,restriction,outcome,fespec,b,se,p,N,households,clusters,meandv,treated_hh,treated_counties,control_hh,control_counties
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,hh_provyear,0,0,,264,132,12,.2121212121212121,54,4,78,8
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,hh_year,.0360993905297702,.10497992,.73689473,266,133,13,.2142857142857143,54,4,79,9
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_abandon,hh_provyear,0,0,,258,129,12,.1661674806204777,55,4,74,8
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_abandon,hh_year,-.036404119816887,.16720036,.83129972,260,130,13,.1648892692310894,55,4,75,9
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_land_total,hh_provyear,0,0,,250,125,12,1.782579061358412,52,4,73,8
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_land_total,hh_year,-.0538097472990843,.21916001,.81019711,252,126,13,1.801907743804315,52,4,74,9
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,hh_provyear,0,0,,264,132,12,.350281387829677,54,4,78,8
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,hh_year,-.0024063177713695,.16456164,.98857355,266,133,13,.3617012120950988,54,4,79,9
completed_t,w12_14_c2016,next_only,full,any_abandon,hh_provyear,0,0,,418,209,21,.1028708133971292,135,13,74,8
completed_t,w12_14_c2016,next_only,full,any_abandon,hh_year,-.1229629629629629,.061685435,.059370469,420,210,22,.1023809523809524,135,13,75,9
completed_t,w12_14_c2016,next_only,full,any_rentin,hh_provyear,0,0,,422,211,21,.1753554502369668,133,13,78,8
completed_t,w12_14_c2016,next_only,full,any_rentin,hh_year,-.0229370895593414,.09631639,.81407833,424,212,22,.1768867924528302,133,13,79,9
completed_t,w12_14_c2016,next_only,full,asinh_abandon,hh_provyear,0,0,,418,209,21,.1242503746305799,135,13,74,8
completed_t,w12_14_c2016,next_only,full,asinh_abandon,hh_year,-.0976877722549721,.075044394,.20710699,420,210,22,.1236587061799581,135,13,75,9
completed_t,w12_14_c2016,next_only,full,asinh_land_total,hh_provyear,0,0,,422,211,21,2.025263045713184,138,13,73,8
completed_t,w12_14_c2016,next_only,full,asinh_land_total,hh_year,-.1328288135141447,.20964473,.53318906,424,212,22,2.035606111768981,138,13,74,9
completed_t,w12_14_c2016,next_only,full,asinh_rentin,hh_provyear,0,0,,422,211,21,.2950229019687886,133,13,78,8
completed_t,w12_14_c2016,next_only,full,asinh_rentin,hh_year,-.1104915307258314,.15872543,.49398848,424,212,22,.3024478789176658,133,13,79,9
completed_t,w12_14_c2018,never_only,drop_adminstart2014,any_abandon,hh_provyear,.0328763506694945,.044699077,.46349201,2436,1218,119,.1276683087027915,75,9,1143,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,any_abandon,hh_year,.0460892388451437,.030184392,.12945624,2436,1218,119,.1276683087027915,75,9,1143,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,any_rentin,hh_provyear,.0577121808016659,.10512125,.58403885,2430,1215,119,.1407407407407407,79,9,1136,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,any_rentin,hh_year,.0547000356569741,.084214881,.51725864,2430,1215,119,.1407407407407407,79,9,1136,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_abandon,hh_provyear,-.0066186536035257,.066311307,.92066306,2434,1217,119,.2041920325312923,75,9,1142,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_abandon,hh_year,-.0125844691277798,.049733173,.80067784,2434,1217,119,.2041920325312923,75,9,1142,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_land_total,hh_provyear,.0196576908855943,.2142653,.92705649,2320,1160,119,1.987748592837772,74,9,1086,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_land_total,hh_year,-.0323160990981284,.20402564,.87441838,2320,1160,119,1.987748592837772,74,9,1086,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,.1973824684505018,.16324484,.22903419,2430,1215,119,.2748847835624292,79,9,1136,110
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_year,.1880395892376222,.14443204,.19547799,2430,1215,119,.2748847835624292,79,9,1136,110
completed_t,w12_14_c2018,never_only,drop_official2014prov,any_abandon,hh_provyear,.0328763506694945,.044724278,.46380785,2340,1170,114,.1252136752136752,75,9,1095,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,any_abandon,hh_year,.0421917808219193,.030257253,.1659217,2340,1170,114,.1252136752136752,75,9,1095,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,any_rentin,hh_provyear,.0577121808016658,.10518073,.584297,2334,1167,114,.1418166238217652,79,9,1088,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,any_rentin,hh_year,.0526805658972483,.084290303,.53323793,2334,1167,114,.1418166238217652,79,9,1088,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_abandon,hh_provyear,-.0066186536035257,.066348739,.92071515,2338,1169,114,.2023430181978403,75,9,1094,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_abandon,hh_year,-.0127249352485622,.050359771,.80097413,2338,1169,114,.2023430181978403,75,9,1094,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_land_total,hh_provyear,.0196576908855943,.2143908,.92710596,2228,1114,114,2.007105992519366,74,9,1040,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_land_total,hh_year,-.0374889963968554,.20463769,.85497183,2228,1114,114,2.007105992519366,74,9,1040,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_rentin,hh_provyear,.1973824684505021,.1633372,.22940257,2334,1167,114,.2808311921197165,79,9,1088,105
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_rentin,hh_year,.1833840605223007,.14475767,.20781924,2334,1167,114,.2808311921197165,79,9,1088,105
completed_t,w12_14_c2018,never_only,full,any_abandon,hh_provyear,.0328763506694945,.04470633,.4634299,2612,1306,131,.1236600306278714,75,9,1231,122
