threshold,window,ctrlset,restriction,outcome,treated_pre,treated_post,treated_change,control_pre,control_post,control_change,diff_change,se,p,treated_hh,control_hh
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_abandon,.1238938053097345,.097345136,-.026548672,.14968553,.16603774,.016352201,-.042900875,.053854689,.42738143,113,795
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,.1607142857142857,.11607143,-.044642858,.12720403,.14231738,.01511335,-.059756208,.043419648,.17151494,112,794
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_abandon,.1426139135982425,.1288427,-.013771222,.24404621,.22285753,-.021188678,.0074174562,.053940479,.89087534,113,790
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_land_total,2.389438656059128,2.0222979,-.36714083,2.07008,2.0969126,.026832491,-.39397332,.40475023,.33244652,105,735
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,.3263645446674943,.24362522,-.082739323,.2575987,.28014508,.022546381,-.1052857,.082114749,.20245171,112,791
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_abandon,.1238938053097345,.097345136,-.026548672,.14630872,.16107382,.014765101,-.041313775,.054035783,.44623041,113,745
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,.1607142857142857,.11607143,-.044642858,.12885906,.13825503,.0093959728,-.05403883,.043648295,.21843211,112,745
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_abandon,.1426139135982425,.1288427,-.013771222,.24700351,.22800158,-.019001922,.0052306992,.05491979,.92430204,113,740
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_land_total,2.389438656059128,2.0222979,-.36714083,2.0964792,2.1365306,.040051397,-.40719223,.40513507,.31710598,105,689
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,.3263645446674943,.24362522,-.082739323,.26589233,.28323701,.017344706,-.10008403,.082892075,.22996476,112,742
completed_t,w14_16_c2018,never_only,full,any_abandon,.1238938053097345,.097345136,-.026548672,.14778325,.1637931,.016009852,-.042558525,.053697284,.42966399,113,812
completed_t,w14_16_c2018,never_only,full,any_rentin,.1607142857142857,.11607143,-.044642858,.12453761,.1430333,.018495684,-.063138545,.043349598,.1479803,112,811
completed_t,w14_16_c2018,never_only,full,asinh_abandon,.1426139135982425,.1288427,-.013771222,.24115856,.22132955,-.019829007,.0060577854,.053620752,.91024762,113,807
completed_t,w14_16_c2018,never_only,full,asinh_land_total,2.389438656059128,2.0222979,-.36714083,2.0775797,2.1073627,.029783085,-.39692393,.40457124,.32856894,105,752
completed_t,w14_16_c2018,never_only,full,asinh_rentin,.3263645446674943,.24362522,-.082739323,.25217891,.2813445,.029165585,-.11190491,.081964783,.17482977,112,808
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_abandon,.1195652173913044,.17391305,.054347824,.11047836,.15261959,.042141229,.012206596,.066563755,.85486591,184,878
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,.1318681318681319,.15934066,.027472528,.14742857,.12685715,-.020571429,.048043955,.035205465,.17538844,182,875
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_abandon,.1305360086794924,.24057806,.11004205,.19179924,.26238832,.070589066,.039452985,.099082097,.69133443,183,878
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_land_total,1.452428541943045,1.8627867,.41035816,1.9248388,2.1379797,.21314104,.19721712,.2297878,.39278242,177,838
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,.20545372096392,.29885364,.093399912,.31010726,.23958008,-.070527181,.16392709,.068681143,.018857976,182,875
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_abandon,.1116751269035533,.16751269,.055837564,.1045673,.1514423,.046875,.0089625632,.062656984,.88654792,197,832
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,.1230769230769231,.15384616,.030769231,.14837153,.12907118,-.019300362,.050069593,.033894155,.14278713,195,829
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_abandon,.1218780081038118,.23198684,.11010883,.1901015,.26044086,.070339359,.039769471,.094370611,.67436349,196,832
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_land_total,1.510208942786526,1.9009951,.39078617,1.9505423,2.1690695,.21852712,.17225903,.21793346,.43117169,188,794
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,.191756806232992,.28633332,.094576508,.31593713,.24974155,-.066195577,.16077209,.066694416,.017772563,195,829
high_sat80_t,w12_14_c2016,never_only,full,any_abandon,.1016949152542373,.1220339,.020338982,.10548523,.14556962,.040084388,-.019745406,.04525692,.66338694,295,948
high_sat80_t,w12_14_c2016,never_only,full,any_rentin,.1198630136986301,.13013698,.010273973,.14603175,.12698413,-.01904762,.029321592,.02898284,.31367329,292,945
high_sat80_t,w12_14_c2016,never_only,full,asinh_abandon,.1228653856576643,.17422885,.051363468,.18245313,.24913301,.066679887,-.015316418,.071404472,.83051062,294,948
high_sat80_t,w12_14_c2016,never_only,full,asinh_land_total,1.787164952891422,2.0547223,.26755732,1.9392792,2.156503,.2172239,.050333414,.14855094,.73531604,291,904
high_sat80_t,w12_14_c2016,never_only,full,asinh_rentin,.1936868507973109,.24020557,.046518721,.30666652,.24057002,-.0660965,.11261522,.054606471,.041284226,292,945
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_abandon,.1195652173913044,.17391305,.054347824,.10315985,.14962825,.046468403,.0078794248,.065766245,.90483272,184,1076
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,.1318681318681319,.15934066,.027472528,.15549348,.1387337,-.016759777,.044232305,.034696762,.20481369,182,1074
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_abandon,.1305360086794924,.24057806,.11004205,.17444022,.2398736,.065433376,.044608679,.096146591,.64350623,183,1076
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_land_total,1.452428541943045,1.8627867,.41035816,1.9265171,2.1277962,.20127904,.20907912,.22876297,.36255798,177,1024
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,.20545372096392,.29885364,.093399912,.31164491,.26222426,-.049420658,.14282057,.066448763,.033598982,182,1074
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_abandon,.1116751269035533,.16751269,.055837564,.098249026,.14883268,.050583657,.0052539059,.061789494,.9323836,197,1028
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,.1230769230769231,.15384616,.030769231,.15594542,.14132553,-.014619883,.045389112,.03328554,.17530245,195,1026
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_abandon,.1218780081038118,.23198684,.11010883,.17262879,.23775667,.065127879,.044980954,.090973727,.62192333,196,1028
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_land_total,1.510208942786526,1.9009951,.39078617,1.9484941,2.1536248,.20513067,.1856555,.21672204,.39338806,188,978
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,.191756806232992,.28633332,.094576508,.31656283,.27196103,-.044601779,.13917829,.063967288,.031582836,195,1026
high_sat80_t,w12_14_c2016,never_plus_next,full,any_abandon,.1016949152542373,.1220339,.020338982,.099476442,.14397906,.04450262,-.024163635,.044315144,.58641863,295,1146
high_sat80_t,w12_14_c2016,never_plus_next,full,any_rentin,.1198630136986301,.13013698,.010273973,.15384616,.13811189,-.015734266,.026008239,.028532417,.3635487,292,1144
high_sat80_t,w12_14_c2016,never_plus_next,full,asinh_abandon,.1228653856576643,.17422885,.051363468,.16776919,.23028372,.062514521,-.011151056,.068059027,.87008536,294,1146
high_sat80_t,w12_14_c2016,never_plus_next,full,asinh_land_total,1.787164952891422,2.0547223,.26755732,1.9383918,2.1437752,.20538345,.062173866,.14739053,.67378199,291,1090
high_sat80_t,w12_14_c2016,never_plus_next,full,asinh_rentin,.1936868507973109,.24020557,.046518721,.30870861,.26165643,-.047052182,.093570903,.052318837,.075816728,292,1144
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,any_abandon,.1195652173913044,.17391305,.054347824,.070707068,.13636364,.065656565,-.01130874,.069955185,.87259245,184,198
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,.1318681318681319,.15934066,.027472528,.19095477,.19095477,0,.027472528,.049788654,.58493024,182,199
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_abandon,.1305360086794924,.24057806,.11004205,.09746436,.14003563,.042571273,.067470782,.094057061,.47836909,183,198
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_land_total,1.452428541943045,1.8627867,.41035816,1.9340787,2.0819151,.14783631,.26252183,.2456006,.29311308,177,186
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,.20545372096392,.29885364,.093399912,.31840599,.36179039,.043384403,.050015509,.086780198,.56841272,182,199
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,any_abandon,.1116751269035533,.16751269,.055837564,.071428575,.1377551,.066326529,-.010488967,.066258781,.87524474,197,196
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,.1230769230769231,.15384616,.030769231,.18781726,.1928934,.005076142,.025693089,.048808344,.60235137,195,197
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,asinh_abandon,.1218780081038118,.23198684,.11010883,.098458894,.14146458,.043005675,.067103162,.088358022,.45332244,196,196
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,asinh_land_total,1.510208942786526,1.9009951,.39078617,1.9396557,2.0869777,.14732201,.24346416,.23414421,.30647323,188,184
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,.191756806232992,.28633332,.094576508,.31919584,.36546338,.04626755,.048308957,.084816307,.57307291,195,197
high_sat80_t,w12_14_c2016,next_only,full,any_abandon,.1016949152542373,.1220339,.020338982,.070707068,.13636364,.065656565,-.045317583,.0497512,.36721009,295,198
high_sat80_t,w12_14_c2016,next_only,full,any_rentin,.1198630136986301,.13013698,.010273973,.19095477,.19095477,0,.010273973,.045646831,.82293969,292,199
high_sat80_t,w12_14_c2016,next_only,full,asinh_abandon,.1228653856576643,.17422885,.051363468,.09746436,.14003563,.042571273,.0087921936,.064863719,.89278257,294,198
high_sat80_t,w12_14_c2016,next_only,full,asinh_land_total,1.787164952891422,2.0547223,.26755732,1.9340787,2.0819151,.14783631,.119721,.16980079,.48440194,291,186
high_sat80_t,w12_14_c2016,next_only,full,asinh_rentin,.1936868507973109,.24020557,.046518721,.31840599,.36179039,.043384403,.0031343186,.076509699,.96750396,292,199
high_sat80_t,w12_14_c2018,never_only,drop_adminstart2014,any_abandon,.0707070707070707,.13636364,.065656565,.11047836,.15261959,.042141229,.023515336,.032927305,.47666946,198,878
high_sat80_t,w12_14_c2018,never_only,drop_adminstart2014,any_rentin,.1909547738693467,.19095477,0,.14742857,.12685715,-.020571429,.020571429,.040911589,.61611015,199,875
high_sat80_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_abandon,.0974643603852562,.14003563,.042571273,.19179924,.26238832,.070589066,-.028017795,.048098192,.56143576,198,878
high_sat80_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_land_total,1.934078705696048,2.0819151,.14783631,1.9248388,2.1379797,.21314104,-.065304719,.10090021,.51886237,186,838
high_sat80_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_rentin,.3184059821036354,.36179039,.043384403,.31010726,.23958008,-.070527181,.11391158,.072634928,.1197422,199,875
high_sat80_t,w12_14_c2018,never_only,drop_official2014prov,any_abandon,.0714285714285714,.1377551,.066326529,.1045673,.1514423,.046875,.019451531,.033225212,.55952913,196,832
high_sat80_t,w12_14_c2018,never_only,drop_official2014prov,any_rentin,.1878172588832487,.1928934,.005076142,.14837153,.12907118,-.019300362,.024376504,.041332614,.55664015,197,829
high_sat80_t,w12_14_c2018,never_only,drop_official2014prov,asinh_abandon,.0984588946749016,.14146458,.043005675,.1901015,.26044086,.070339359,-.027333686,.04948312,.58188194,196,832
high_sat80_t,w12_14_c2018,never_only,drop_official2014prov,asinh_land_total,1.939655678781558,2.0869777,.14732201,1.9505423,2.1690695,.21852712,-.071205117,.10261896,.48932022,184,794
high_sat80_t,w12_14_c2018,never_only,drop_official2014prov,asinh_rentin,.3191958305257048,.36546338,.04626755,.31593713,.24974155,-.066195577,.11246313,.074380964,.13359907,197,829
high_sat80_t,w12_14_c2018,never_only,full,any_abandon,.0707070707070707,.13636364,.065656565,.10548523,.14556962,.040084388,.025572177,.032348685,.43082544,198,948
high_sat80_t,w12_14_c2018,never_only,full,any_rentin,.1909547738693467,.19095477,0,.14603175,.12698413,-.01904762,.01904762,.040520739,.63917941,199,945
high_sat80_t,w12_14_c2018,never_only,full,asinh_abandon,.0974643603852562,.14003563,.042571273,.18245313,.24913301,.066679887,-.024108611,.045824356,.59980828,198,948
high_sat80_t,w12_14_c2018,never_only,full,asinh_land_total,1.934078705696048,2.0819151,.14783631,1.9392792,2.156503,.2172239,-.069387585,.099966072,.48898831,186,904
high_sat80_t,w12_14_c2018,never_only,full,asinh_rentin,.3184059821036354,.36179039,.043384403,.30666652,.24057002,-.0660965,.1094809,.071610399,.12900302,199,945
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,any_abandon,.1088235294117647,.10294118,-.0058823531,.14496315,.14004914,-.0049140048,-.000968348,.038706411,.98009324,340,407
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,.1462686567164179,.13731343,-.0089552235,.13480392,.15196079,.017156864,-.026112087,.03699068,.48197168,335,408
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_abandon,.1180592708128411,.096248962,-.021810308,.2766743,.22087537,-.055798918,.03398861,.052573189,.51951391,340,404
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_land_total,2.165175572392216,2.0288832,-.13629229,2.1910999,2.3011158,.11001574,-.24630803,.16455851,.13769718,315,374
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,.2799878830668671,.29196924,.011981349,.28034887,.29677576,.016426919,-.0044455687,.07199885,.95089561,335,405
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,any_abandon,.096875,.09375,-.003125,.1458886,.132626,-.0132626,.0101376,.039241601,.79673588,320,377
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,.1550632911392405,.1392405,-.015822785,.13227513,.14285715,.01058201,-.026404796,.038387515,.49331713,316,378
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,asinh_abandon,.1095759056731384,.093404196,-.016171712,.28566405,.22655794,-.059106112,.042934399,.056056585,.44573289,320,374
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,asinh_land_total,2.188420872208761,2.0569201,-.13150093,2.2384567,2.3689282,.13047145,-.26197237,.17412418,.13587436,297,346
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,.2968225975550648,.3009806,.004158013,.28552753,.29722968,.011702149,-.0075441361,.076315776,.92147386,316,375
high_sat80_t,w14_16_c2018,never_only,full,any_abandon,.1088235294117647,.10294118,-.0058823531,.14320388,.13834952,-.004854369,-.001027984,.038522448,.97876555,340,412
high_sat80_t,w14_16_c2018,never_only,full,any_rentin,.1462686567164179,.13731343,-.0089552235,.13317192,.15254237,.019370461,-.028325684,.03690245,.44459954,335,413
high_sat80_t,w14_16_c2018,never_only,full,asinh_abandon,.1180592708128411,.096248962,-.021810308,.27329198,.21817519,-.05511678,.033306472,.052181095,.52479154,340,409
high_sat80_t,w14_16_c2018,never_only,full,asinh_land_total,2.165175572392216,2.0288832,-.13629229,2.1987798,2.3049657,.10618577,-.24247806,.16388443,.14216386,315,381
high_sat80_t,w14_16_c2018,never_only,full,asinh_rentin,.2799878830668671,.29196924,.011981349,.27692997,.29759178,.020661825,-.0086804759,.071809903,.90403509,335,410
started_t,w12_14_c2016,never_only,drop_adminstart2014,any_abandon,.1123882503192848,.15453385,.042145595,.094339624,.1509434,.056603774,-.014458179,.036373656,.69170618,783,477
started_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,.1562099871959027,.14852753,-.0076824585,.14526317,.13052632,-.014736842,.0070543839,.028480606,.80479348,781,475
started_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_abandon,.1779086080563428,.23301715,.05510854,.15191035,.25138441,.099474072,-.044365536,.073535524,.54742438,782,477
started_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_land_total,1.826184080591172,2.0493894,.22320524,1.9057196,2.1521285,.24640881,-.023203567,.092099294,.80151427,741,460
started_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,.2808751374990013,.27896532,-.0019098165,.32154894,.24873328,-.072815657,.070905842,.063400947,.2656236,781,475
