subset,k,farm_income_any_rentin_b,farm_income_any_rentin_se,farm_income_any_rentin_p,farm_income_any_rentin_first_stage_f,farm_income_any_rentin_partial_r2,farm_income_any_rentin_overid_p,farm_income_any_rentin_N,farm_income_any_rentin_clusters,farm_income_asinh_rentin_b,farm_income_asinh_rentin_se,farm_income_asinh_rentin_p,farm_income_asinh_rentin_first_stage_f,farm_income_asinh_rentin_partial_r2,farm_income_asinh_rentin_overid_p,farm_income_asinh_rentin_N,farm_income_asinh_rentin_clusters,baseline_bundle_any_rentin_b,baseline_bundle_any_rentin_se,baseline_bundle_any_rentin_p,baseline_bundle_any_rentin_first_stage_f,baseline_bundle_any_rentin_partial_r2,baseline_bundle_any_rentin_overid_p,baseline_bundle_any_rentin_N,baseline_bundle_any_rentin_clusters,baseline_bundle_asinh_rentin_b,baseline_bundle_asinh_rentin_se,baseline_bundle_asinh_rentin_p,baseline_bundle_asinh_rentin_first_stage_f,baseline_bundle_asinh_rentin_partial_r2,baseline_bundle_asinh_rentin_overid_p,baseline_bundle_asinh_rentin_N,baseline_bundle_asinh_rentin_clusters,Fmin,pmax_farm,pmax_base,overid_min,score
geo+raw+area+dist+burden4,5,0.1660190911899702,0.09886705950875735,0.09311006715042347,28.065183531322806,0.4537728899226523,0.16430191265419536,2772,130,0.3855713744548625,0.2026870029208542,0.057132017378566546,28.057982810257805,0.453751879705518,0.03394032578899164,2766,130,0.15452285433137308,0.10442969778021062,0.13895784958827284,31.528286571501106,0.44251454513761423,0.4153084113139761,2532,128,0.3609588357454715,0.19796224674489796,0.06824705437860912,31.520204420906836,0.4425015683055158,0.21764867353422868,2526,128,28.057982810257805,0.09311006715042347,0.13895784958827284,0.03394032578899164,6
geo+net+area+dist+costwork,5,0.16601909118993488,0.09886705950875632,0.09311006715048964,28.065183531163573,0.4537728899226542,0.16430191265413718,2772,130,0.38557137445490364,0.20268700292086853,0.05713201737855744,28.0579828102444,0.45375187970552,0.03394032578899164,2766,130,0.15452285433135837,0.10442969778020621,0.13895784958829394,31.528286571316556,0.4425145451376159,0.4153084113139761,2532,128,0.3609588357454559,0.197962246744891,0.06824705437861134,31.520204420851364,0.44250156830551823,0.21764867353420625,2526,128,28.0579828102444,0.09311006715048964,0.13895784958829394,0.03394032578899164,6
geo+net+rugged+costwork+burden4,5,0.16601909118995956,0.09886705950875417,0.0931100671504339,28.065183531612433,0.4537728899226525,0.1643019126541565,2772,130,0.3855713744548341,0.2026870029208481,0.05713201737857743,28.057982810243914,0.4537518797055182,0.033940325789022174,2766,130,0.15452285433137625,0.1044296977802118,0.1389578495882693,31.528286571316244,0.4425145451376148,0.41530841131405327,2532,128,0.3609588357454562,0.19796224674489715,0.06824705437861978,31.520204420930725,0.44250156830551624,0.21764867353427408,2526,128,28.057982810243914,0.0931100671504339,0.1389578495882693,0.033940325789022174,6
geo+raw+rugged+dist+costwork,5,0.16601909118996003,0.09886705950875617,0.09311006715043968,28.065183531265156,0.4537728899226525,0.1643019126541565,2772,130,0.3855713744548644,0.20268700292085612,0.05713201737856766,28.0579828102308,0.45375187970551845,0.03394032578899164,2766,130,0.15452285433137838,0.1044296977802112,0.13895784958826152,31.528286571078546,0.4425145451376141,0.41530841131413077,2532,128,0.3609588357454525,0.19796224674489388,0.06824705437861778,31.520204421276773,0.4425015683055159,0.21764867353427408,2526,128,28.0579828102308,0.09311006715043968,0.13895784958826152,0.03394032578899164,6
geo+raw+rugged+dist+workload,5,0.16601909118996463,0.09886705950875678,0.09311006715043257,28.065183531248817,0.4537728899226524,0.16430191265419536,2772,130,0.38557137445486517,0.20268700292085692,0.0571320173785681,28.057982810230232,0.45375187970551834,0.03394032578899164,2766,130,0.15452285433137694,0.10442969778021072,0.13895784958826352,31.52828657121918,0.442514545137614,0.41530841131405327,2532,128,0.36095883574544857,0.19796224674489302,0.06824705437861978,31.520204420989867,0.4425015683055157,0.21764867353427408,2526,128,28.057982810230232,0.09311006715043257,0.13895784958826352,0.03394032578899164,6
geo+rugged+area+workload+burden4,5,0.16601909118995628,0.0988670595087559,0.09311006715044612,28.06518353138778,0.4537728899226525,0.16430191265407923,2772,130,0.3855713744548553,0.2026870029208537,0.05713201737857054,28.05798281022929,0.4537518797055181,0.033940325789035275,2766,130,0.15452285433137303,0.10442969778021045,0.1389578495882724,31.528286571199924,0.4425145451376148,0.41530841131416907,2532,128,0.3609588357454657,0.1979622467448946,0.06824705437860867,31.520204420993736,0.442501568305516,0.21764867353427408,2526,128,28.05798281022929,0.09311006715044612,0.1389578495882724,0.033940325789035275,6
geo+net+area+dist+burden4,5,0.1660190911899395,0.09886705950875657,0.09311006715048142,28.065183531236343,0.45377288992265385,0.1643019126541565,2772,130,0.38557137445490924,0.20268700292086983,0.057132017378555666,28.05798281019255,0.4537518797055199,0.033940325789022174,2766,130,0.15452285433135965,0.10442969778020615,0.13895784958829038,31.52828657129702,0.442514545137616,0.41530841131405327,2532,128,0.360958835745445,0.19796224674488866,0.06824705437861622,31.52020442080186,0.44250156830551846,0.21764867353422868,2526,128,28.05798281019255,0.09311006715048142,0.13895784958829038,0.033940325789022174,6
geo+net+rugged+area+workload,5,0.16601909118996122,0.09886705950875677,0.09311006715043924,28.065183531361683,0.4537728899226522,0.16430191265407923,2772,130,0.38557137445485634,0.20268700292085406,0.05713201737857032,28.05798281018713,0.45375187970551834,0.03394032578899164,2766,130,0.15452285433137045,0.10442969778021072,0.13895784958827995,31.528286571288458,0.4425145451376148,0.41530841131416907,2532,128,0.36095883574546084,0.19796224674489582,0.06824705437861422,31.520204420953974,0.442501568305516,0.21764867353427408,2526,128,28.05798281018713,0.09311006715043924,0.13895784958827995,0.03394032578899164,6
geo+rugged+area+dist+workload,5,0.16601909118995253,0.0988670595087552,0.09311006715045123,28.06518353129325,0.4537728899226522,0.16430191265407923,2772,130,0.38557137445486855,0.20268700292085706,0.0571320173785661,28.05798281017965,0.4537518797055181,0.033940325789017844,2766,130,0.15452285433136553,0.10442969778021019,0.1389578495882906,31.528286571234823,0.4425145451376147,0.41530841131405327,2532,128,0.36095883574545096,0.19796224674489263,0.06824705437861733,31.520204420839484,0.442501568305516,0.21764867353427408,2526,128,28.05798281017965,0.09311006715045123,0.1389578495882906,0.033940325789017844,6
geo+rugged+area+workload+costwork,5,0.16601909118995792,0.09886705950875609,0.09311006715044345,28.06518353141293,0.4537728899226521,0.16430191265402116,2772,130,0.3855713744548586,0.20268700292085604,0.05713201737857121,28.057982810177776,0.4537518797055181,0.033940325789004744,2766,130,0.1545228543313657,0.1044296977802099,0.13895784958828905,31.528286571298775,0.4425145451376148,0.4153084113139761,2532,128,0.36095883574546134,0.19796224674489438,0.06824705437861178,31.520204420907632,0.4425015683055158,0.21764867353420625,2526,128,28.057982810177776,0.09311006715044345,0.13895784958828905,0.033940325789004744,6
