bundle,outcome,stress,N,clusters,n_exog,n_instruments,iv_b,iv_se,iv_p,first_stage_f,partial_r2,ar_zero_p,sargan_p,wooldridge_overid_p
geo_plus_net,any_rentin,geo_dev_main_plus_gov_mobility,2532.0,128.0,17.0,2.0,0.248981871058189,0.1327792478808573,0.0607711952079668,11.003088025818329,0.3011502332127946,0.103634189309053,0.7805894383138875,0.7756367587923998
geo_plus_net,asinh_rentin,geo_dev_main_plus_gov_mobility,2526.0,128.0,17.0,2.0,0.5024753661063036,0.2486598998918535,0.0433073698894876,11.00597234717572,0.3013365266589282,0.070682017885401,0.6006910111135825,0.492314680531502
geo_plus_net,any_rentin,geo_dev_main_plus_labor_cost,2532.0,128.0,18.0,2.0,0.103609561920166,904583359171455.4,1.0,10.17509419857746,0.283743756159703,0.0564934747204681,0.0,0.999982358853034
geo_plus_net,asinh_rentin,geo_dev_main_plus_labor_cost,2526.0,128.0,18.0,2.0,0.4833103088126403,0.2618872331561095,0.0649662702551585,10.20328426426621,0.2838438359043717,0.1011976354113612,0.0,0.7027160786598767
geo_plus_net,any_rentin,geo_dev_main_plus_rent,2532.0,128.0,17.0,2.0,0.1344932797010546,0.1224317844288036,0.271979214994249,10.30830196300838,0.2828467484634197,0.0884713428492365,0.2323062675202573,0.2262373467639059
geo_plus_net,asinh_rentin,geo_dev_main_plus_rent,2526.0,128.0,17.0,2.0,0.3871658754137275,0.2590238133019744,0.1349897487663065,10.311063666982443,0.2830167969162158,0.117990179242544,0.3187801000785522,0.2223984466950016
geo_plus_net,any_rentin,lower_order_Z,2532.0,128.0,12.0,2.0,0.1858139006755624,0.1234742089331344,0.1323548620929524,9.506050234755948,0.2774747934010958,0.0866500892263828,0.4049637741158751,0.3876242121164581
geo_plus_net,asinh_rentin,lower_order_Z,2526.0,128.0,12.0,2.0,0.2965376470060557,0.2098940265378376,0.1577154262209719,9.504749698673002,0.2774135514203707,0.3477199551040982,0.5609068885632212,0.4570549464312683
geo_plus_rawsurvey,any_rentin,baseline,2532.0,128.0,10.0,2.0,0.3077769249600196,0.153901934043432,0.0455191712630236,9.311559219920255,0.246434393664327,0.0196711191065798,0.8113174259475073,0.815693444048305
geo_plus_rawsurvey,asinh_rentin,baseline,2526.0,128.0,10.0,2.0,0.6170689653642412,0.2591287568503711,0.0172506334925599,9.312957713847672,0.2464616351766785,0.0042731277153424,0.3649374148041031,0.1963303321764055
geo_plus_rawsurvey,any_rentin,channel_gov_mobility_main,2532.0,128.0,13.0,2.0,0.3121032184611788,0.156407297555987,0.0459936296048411,9.488945046592924,0.2523217035484145,0.024728619148084,0.7711173451169343,0.7736497247652081
geo_plus_rawsurvey,asinh_rentin,channel_gov_mobility_main,2526.0,128.0,13.0,2.0,0.645829665814331,0.278038866335964,0.0201897082794446,9.491123080696395,0.252369836738655,0.0031290114368324,0.2572095879591153,0.1138858314727104
geo_plus_rawsurvey,any_rentin,channel_labor_cost_main,2532.0,128.0,14.0,2.0,0.3015268075261072,0.1497261774226587,0.0440247617353897,9.372545430858311,0.2470300606086134,0.021120769308172,0.7113948125085918,0.8082504337469711
