source,scope,anchor,outcome,design,fe,high_treated_support,N,clusters,mean_y,kept_regs,D_b,D_se,D_p,PM_b,PM_se,PM_p,DM_b,DM_se,DM_p,D_plus_DM_b,D_plus_DM_se,D_plus_DM_p
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_logit,heterogeneous_D_DM,provyear,10,392,137,-2.1985129432479247,"PM,D,DM",0.4546778158705684,1.6443858590240015,0.7821616657759667,-0.09166464918145212,0.7282694256504547,0.8998376818213489,0.23120145415234106,2.094450008020609,0.9121019321020422,0.6858792700229095,2.6521859034576107,0.7959369018556639
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_arcsin,overall_D,stackyear,10,486,180,0.4311344663074674,D,0.2209196738389474,0.12604980100426577,0.07966416053016409,,,,,,,,,
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_arcsin,overall_D,provyear,10,474,177,0.4311344663074674,D,0.08644599263027228,0.21007365185782584,0.6807035511377914,,,,,,,,,
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_arcsin,heterogeneous_D_DM,stackyear,10,408,141,0.4372919257142479,"PM,D,DM",0.2987304401416414,0.1589809271260261,0.06023996019999186,-0.009802035442074584,0.09368490563561413,0.9166712403450182,-0.03156567494521198,0.31195814334316674,0.9194031198553836,0.2671647651964294,0.27393853195558915,0.3294250202942688
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_arcsin,heterogeneous_D_DM,provyear,10,392,137,0.4372919257142479,"PM,D,DM",-0.0635230054649388,0.26416427031996487,0.8099676095405264,-0.023077683666598403,0.11263331505499871,0.8376563775231427,0.045670803020573386,0.3434312262609099,0.8942061613062812,-0.017852202444365417,0.432276131300046,0.9670582117127996
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_rank,overall_D,stackyear,10,486,180,0.5053595923467274,D,0.11544159358409783,0.059640022158564995,0.05291184658627511,,,,,,,,,
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_rank,overall_D,provyear,10,474,177,0.5053595923467274,D,0.17910038958398386,0.11467802400233203,0.11834281438643134,,,,,,,,,
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_rank,heterogeneous_D_DM,stackyear,10,408,141,0.5086475855502252,"PM,D,DM",0.183056984829755,0.07453875047284868,0.014054659299463007,0.014267957167409322,0.047280110664539396,0.7628235614404354,-0.12161149790001897,0.14770594883980567,0.4103174364553873,0.06144548692973602,0.1280388484470566,0.6313004808341702
CLDS,mech,high_sat80_t,landuse_rentout_pct_v_rank,heterogeneous_D_DM,provyear,10,392,137,0.5086475855502252,"PM,D,DM",0.08964465219490036,0.11820352043553253,0.44821610302517545,-0.013596382142185327,0.05582784757038118,0.8075861566971279,-0.011239387014266118,0.14760346186550288,0.9393030848181152,0.07840526518063425,0.1863926644241292,0.6740138473296198
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_raw,overall_D,stackyear,4,468,173,25.273329333333333,D,18.627762716887002,12.774024889067185,0.1447707638263106,,,,,,,,,
CLDS,adjacent,signoff_or_issue_t,landuse_rentout_pct_v_raw,overall_D,provyear,4,456,170,25.273329333333333,D,1.1015767131594902,11.641360503654637,0.9246118064498204,,,,,,,,,
