scope,anchor,group,outcome,outcome_label,family,fe,b,se,p,N,clusters,mean_y,status
adjacent,high_sat80_t,farmdep bottom tercile,any_rentin,Any rented-in land,rent-in,provyear,-0.2658836091831292,0.10665012880174304,0.012665266372019226,804.0,90.0,0.09140518417462483,ok
adjacent,high_sat80_t,farmdep bottom tercile,asinh_rentin,asinh rented-in area,rent-in,stackyear,-0.35052782998295806,0.16408703211959547,0.032660577290760634,812.0,91.0,0.138906599498932,ok
adjacent,high_sat80_t,farmdep bottom tercile,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.38088329310482655,0.17141843766105075,0.026286647149637465,802.0,90.0,0.138906599498932,ok
adjacent,high_sat80_t,farmdep bottom tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.25960906064257866,0.12673559266237752,0.04051782999070897,840.0,93.0,1.0026702269692924,ok
adjacent,high_sat80_t,farmdep bottom tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,0.2477517148364178,0.1557225778163968,0.11161377625854746,832.0,93.0,1.0026702269692924,ok
adjacent,high_sat80_t,farmdep bottom tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.06712146898425192,0.0650549561980242,0.30218191583120624,840.0,93.0,0.2703604806408545,ok
adjacent,high_sat80_t,farmdep bottom tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,0.07210113383021238,0.07800051699477671,0.3552950702871459,832.0,93.0,0.2703604806408545,ok
adjacent,high_sat80_t,farmdep bottom tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.06567214693898796,0.06408125601620128,0.3054452249418482,814.0,91.0,0.25852660300136426,ok
adjacent,high_sat80_t,farmdep bottom tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,0.0680726107848373,0.08450422729443649,0.42050079215216174,804.0,90.0,0.25852660300136426,ok
adjacent,high_sat80_t,farmdep bottom tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,-0.1871558558206738,0.10157404773783771,0.06539388512500942,814.0,91.0,0.07366984993178717,ok
