group,sample,spec,outcome,b,se,p,N,households,counties,treated_counties,control_counties,status
high17_vs_not17,full,linear_2009_2013,any_transfer_in_zfill,.0063475310712837,.0030416509,.037648764,91031,22181,339,13,326,ok
high17_vs_not17,full,linear_2009_2013,asinh_farm_income,-.071747823723133,.044942923,.1113321,77319,20243,338,13,325,ok
high17_vs_not17,full,linear_2009_2013,asinh_household_income_total,-.0418424914391611,.043189369,.33333045,90832,22172,339,13,326,ok
high17_vs_not17,full,linear_2009_2013,asinh_operated_area_end,.0263542736414635,.017834844,.14044888,71166,18886,330,13,317,ok
high17_vs_not17,full,linear_2009_2013,asinh_transfer_in_area_zfill,.0098950552510187,.0057197097,.084544428,91031,22181,339,13,326,ok
high17_vs_not17,full,linear_2009_2014,any_transfer_in_zfill,.003516012214637,.0016664267,.035598457,109582,22561,340,13,327,ok
high17_vs_not17,full,linear_2009_2014,asinh_farm_income,-.0360309634564552,.022893379,.11645544,92173,20658,339,13,326,ok
high17_vs_not17,full,linear_2009_2014,asinh_household_income_total,-.0326509567533116,.027392078,.23410073,109354,22552,340,13,327,ok
high17_vs_not17,full,linear_2009_2014,asinh_operated_area_end,.0199110739772292,.016766287,.23585847,84896,19414,331,13,318,ok
high17_vs_not17,full,linear_2009_2014,asinh_transfer_in_area_zfill,.0058460880096729,.0033249205,.079604961,109582,22561,340,13,327,ok
high17_vs_not17,full,placebo_2013,any_transfer_in_zfill,.0157292753049419,.0079980241,.050041966,91031,22181,339,13,326,ok
high17_vs_not17,full,placebo_2013,asinh_farm_income,-.2722066823822412,.24198049,.26142702,77319,20243,338,13,325,ok
high17_vs_not17,full,placebo_2013,asinh_household_income_total,-.1666847340764027,.16490567,.31284076,90832,22172,339,13,326,ok
high17_vs_not17,full,placebo_2013,asinh_operated_area_end,.0765151694553902,.059641238,.20042178,71166,18886,330,13,317,ok
high17_vs_not17,full,placebo_2013,asinh_transfer_in_area_zfill,.0211580555667234,.012413482,.089217581,91031,22181,339,13,326,ok
high17_vs_not17,full,placebo_2013_14,any_transfer_in_zfill,.0088697740300114,.0073183882,.2263623,109582,22561,340,13,327,ok
high17_vs_not17,full,placebo_2013_14,asinh_farm_income,-.1435967156373743,.12291069,.24350862,92173,20658,339,13,326,ok
high17_vs_not17,full,placebo_2013_14,asinh_household_income_total,-.1301131181783771,.1031033,.20782767,109354,22552,340,13,327,ok
high17_vs_not17,full,placebo_2013_14,asinh_operated_area_end,.0623496334380448,.060322832,.30208039,84896,19414,331,13,318,ok
high17_vs_not17,full,placebo_2013_14,asinh_transfer_in_area_zfill,.0133125371967005,.0098905126,.17920494,109582,22561,340,13,327,ok
high17_vs_not17,full,placebo_2014,any_transfer_in_zfill,.0003521295292995,.0091235489,.96923548,109582,22561,340,13,327,ok
high17_vs_not17,full,placebo_2014,asinh_farm_income,.0384203818419693,.10547976,.71590346,92173,20658,339,13,326,ok
high17_vs_not17,full,placebo_2014,asinh_household_income_total,-.0676365430634868,.069482297,.33103091,109354,22552,340,13,327,ok
high17_vs_not17,full,placebo_2014,asinh_operated_area_end,.0370965673518788,.05485082,.49931285,84896,19414,331,13,318,ok
high17_vs_not17,full,placebo_2014,asinh_transfer_in_area_zfill,.0014929903086361,.010986865,.89198995,109582,22561,340,13,327,ok
