scope,anchor,design,group,outcome,outcome_label,family,fe,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.1504339440694309,0.10723462157157589,0.1606619761808432,342.0,34.0,0.9089147286821705,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,rb_farm_any,Any own-farm production,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,0.14338457287082146,0.608179109397901,0.8136185691750839,342.0,34.0,9.37436784202905,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,any_rentin,Any rented-in land,rent-in,stackyear,-0.11300590339352952,0.1022187052018122,0.2689297558275634,470.0,56.0,0.08660508083140878,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,any_rentin,Any rented-in land,rent-in,provyear,-0.23275593818068674,0.08134035602597633,0.004216331734564088,464.0,55.0,0.08660508083140878,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,asinh_rentin,asinh rented-in area,rent-in,stackyear,-0.21318611587321115,0.18444924148790895,0.24776367716317937,468.0,56.0,0.12429810499258756,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.2731621498982275,0.14218639498396266,0.054712128438938905,462.0,55.0,0.12429810499258756,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,-0.11338790439042826,0.10187525716680579,0.2657052965001966,468.0,56.0,0.06936416184971098,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.23271267228627102,0.08150667506885753,0.00430183533615174,462.0,55.0,0.06936416184971098,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.07253917457514897,0.24158056587595456,0.7639719152513886,494.0,57.0,1.1059751972942502,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,0.4478097016215471,0.16473238053877515,0.006559703902544657,484.0,55.0,1.1059751972942502,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,-0.030241668505848585,0.11662992886372625,0.7954069020107413,494.0,57.0,0.31905298759864714,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,0.16206825018151644,0.08280075586117874,0.05030890008501777,484.0,55.0,0.31905298759864714,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.03840725705071696,0.07961431800421291,0.6295101341797298,470.0,56.0,0.28983833718244806,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,0.17404833523493415,0.0735314736517437,0.01793336963961965,464.0,55.0,0.28983833718244806,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.13700455580865586,0.07651173551249031,0.07335196160730188,484.0,56.0,0.6156462585034014,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.11433703538472367,0.126487442632602,0.3660273160422084,476.0,55.0,0.6156462585034014,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-3.0015077337610885,0.7675946267572225,9.21902787159007e-05,484.0,57.0,2.5906299307648704,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-1.4785635682082612,0.8617366083955903,0.08619952625332797,474.0,55.0,2.5906299307648704,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,any_rentin,Any rented-in land,rent-in,stackyear,0.007309638661181947,0.06849596869574574,0.9150140240862907,728.0,66.0,0.1758147512864494,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,any_rentin,Any rented-in land,rent-in,provyear,-0.3280085197018107,0.18863136471409206,0.08205474224155519,718.0,65.0,0.1758147512864494,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,asinh_rentin,asinh rented-in area,rent-in,stackyear,-0.07389446641696558,0.13452993182248588,0.5828139966609323,726.0,66.0,0.4181267056906418,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.6262011942570285,0.4315918607657369,0.14680476323156005,716.0,65.0,0.4181267056906418,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.003750110976295438,0.06805372479226685,0.9560546901889542,728.0,66.0,0.15879828326180256,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.33972310969116115,0.17654437512209029,0.05431786435271705,718.0,65.0,0.15879828326180256,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,-0.0010405632341191975,0.10700421967813456,0.9922410886583528,768.0,67.0,0.14214463840399003,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,-0.15278733654507917,0.06673399274336274,0.022050439522239174,758.0,65.0,0.14214463840399003,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.007413193517600114,0.024406193808011005,0.7613242264393643,768.0,67.0,0.015793848711554447,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,-0.044046799724707486,0.026422044282971124,0.09550498381223536,758.0,65.0,0.015793848711554447,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.014200230830694573,0.027748024688767105,0.6088214674886765,728.0,66.0,0.011149228130360206,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,-0.04472843450479238,0.027417238915623064,0.10280632224424589,718.0,65.0,0.011149228130360206,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.003950595457520521,0.04889917759550889,0.9356084583734146,766.0,67.0,0.890924229808493,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.008947006194081243,0.07691337302468448,0.9073943745551332,756.0,65.0,0.890924229808493,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-1.220258976612904,0.978139466802164,0.2122029846366934,744.0,67.0,9.246559149731718,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farm-orientation top,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-3.2139829820130004,2.9255260978194086,0.2719425760863501,734.0,65.0,9.246559149731718,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,any_rentin,Any rented-in land,rent-in,stackyear,0.05555555555555557,0.0881832592092925,0.5286938255715867,362.0,35.0,0.06976744186046512,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,any_rentin,Any rented-in land,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,asinh_rentin,asinh rented-in area,rent-in,stackyear,0.06908636634438006,0.0957765012264892,0.47070712820671934,360.0,35.0,0.08921278463907709,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,asinh_rentin,asinh rented-in area,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.05555555555555557,0.0881832592092925,0.5286938255715867,362.0,35.0,0.05647840531561462,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.5833333333333336,0.16792147459784498,0.0005130555145947978,370.0,35.0,1.2661290322580645,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.1111111111111111,0.06538720854553288,0.08926662523080328,370.0,35.0,0.36451612903225805,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.138888888888889,0.07393873043112081,0.06032206988278642,362.0,35.0,0.3588039867109635,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.3333333333333335,0.03985722513089927,6.104755628011847e-17,368.0,35.0,0.5665584415584416,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,rb_farm_any,Any own-farm production,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-2.424195017794479,0.8266054680455184,0.00336016420554755,362.0,35.0,2.643970638324678,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farm-orientation bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,,,,,,,error: no regressors after FE
